Rank                                           Won  Lost  Tied    PF    PA   Rating
 397 CUMBERLAND                                  1     6     0   105   240   75.445
 398 EASTSIDE                                    2     6     0   141   264   75.073
 399 COVENANT                                    3     3     0   131   149   74.564
 400 HOLSTON                                     1     6     0    69   327   74.442
 401 NELSON COUNTY                               0     7     0    28   357   73.178
 402 NORTHWOOD                                   1     7     0   121   383   72.917
 403 BLESSED SACRAMENT-HUGUENOT                  2     4     0   137   146   72.513
 404 WINDSOR                                     0     6     0    67   327   72.338
 405 TWIN VALLEY                                 4     3     0   227   152   71.742
 406 EASTERN MONTGOMERY                          1     6     0    67   269   71.545
 407 HAMPTON ROADS ACADEMY                       1     6     0    96   308   70.134
 408 HANCOCK, MD                                 0     1     0     0    36   69.445
 409 VIRGINIA EPISCOPAL                          0     7     0    55   307   67.840
 410 NORTHERN VIRGINIA KINGS                     1     2     0     9    76   67.087
 411 BROADWATER ACADEMY                          1     6     0    30   286   66.478
 412 THOMAS JEFFERSON(A)                         0     6     0    31   285   66.397
 413 PHELPS, KY                                  0     1     0    22    27   65.456
 414 THOMAS WALKER                               2     5     0    99   236   64.763
 415 MARYLAND SCHOOL FOR THE DEAF, MD            1     0     0    21     0   63.221
 416 KING & QUEEN                                0     7     0    37   364   62.316
 417 NORTH STOKES, NC                            0     1     0     7    39   62.122
 418 GREENBRIER CHRISTIAN                        0     7     0    98   351   61.904
 419 HANCOCK COUNTY, TN                          1     1     0    45    27   61.877
 420 HAMPTON ROADS GENERALS                      2     3     0   100    74   60.905
 421 KENSTON FOREST                              3     3     0    78   181   60.512
 422 FISHBURNE MILITARY                          2     3     0    88   116   59.444
 423 MONTCALM, WV                                0     4     0    12   154   59.196
 424 BRUNSWICK ACADEMY                           2     4     0   119   196   58.796
 425 RYE COVE                                    0     6     0    50   241   55.574
 426 EASTERN SHORE HOMESCHOOL, DE                0     1     0    20    24   54.353
 427 CRAIG COUNTY                                0     8     0     8   365   54.147
 428 SOUTH FLOYD, KY                             0     1     0     8    54   53.455
 429 GRACE CHRISTIAN                             1     3     0    64   110   51.120
 430 NORTHERN VIRGINIA HOMESCHOOL                1     5     0    51   197   47.974
 431 MASSANUTTEN MILITARY                        0     8     0    24   439   33.299
 432 CESAR CHAVEZ CHARTER, DC                    0     1     0     0    55    2.231
 433 JENKINS, KY                                 0     1     0     0    66  -30.454
